X11.PDX8.ccRCC.htseq2	X17.PDX2.2180.P1.htseq2	X26.PDX2.2181.P1.htseq2	X29.PDX2.2192.P1.htseq2	X2.PDX2.normal.htseq2	X34.PDX2.2194.P1.htseq2	X4.PDX3.normal.htseq2	X6.PDX4.ccRCC.htseq2	X7.PDX5.ccRCC.htseq2	X8.PDX5.normal.htseq2
ABCE1	389.927598667665	553.425484332251	470.891992736686	416.115394315487	324.385795791286	499.347827375174	368.97841641768	245.023146235655	396.485074037197	234.290976500773
ZNF117	88.7598349598764	308.208501437067	306.846912560247	262.19183152794	174.076337939482	338.160675110975	61.9883739581702	83.2154081555056	87.8574879968789	194.214888415115
PRKAR2A	309.889828414828	214.846072169634	289.144206066386	236.103092072424	492.03865262599	216.854880108021	565.766905173775	436.110379777928	396.485074037197	685.91766146608
MAGT1	845.014151323216	655.786701962809	403.621708060017	549.167965538621	721.99927617704	644.748609056797	768.459048592554	676.510447782722	797.475660279362	517.906369106973
TMBIM6	11947.1763981253	7726.58465828909	6888.71318697753	7684.43820662236	6970.76169490502	8075.14398379254	8632.12705928614	10264.7746985893	12788.8963938021	7970.51736503618
PHACTR4	317.072705232391	308.208501437067	317.468536456563	311.760436493421	432.300278351555	299.110179459339	331.588603554021	383.715493161498	446.045708291847	414.633372886237
NLGN2	87.7337097002246	35.9951534525041	100.315336798542	63.9174116660152	247.946370644428	47.3591117477287	142.671654348169	29.2794954621224	90.1102440993629	462.416400988369
NUP107	409.937041230874	543.301847423734	464.991090572066	486.554990845381	370.634859745687	477.745425525333	240.081956282437	308.205215390762	358.188220294968	282.074004602905
VMP1	1642.82654070245	1362.1915884682	1654.61296695948	1511.84245144718	2120.3911126872	1348.48839239585	1301.75585312157	1676.63637172574	3550.3436175149	2170.27430863874
NR1D2	203.685864040872	132.732128356109	81.4324498717577	106.963831767617	596.099046523393	103.857701201159	318.797351784875	157.184659849288	150.934658866433	373.015896797284
PLPBP	556.159890731248	247.466679985966	145.162193249655	225.667596290217	355.860853204698	230.979527471378	470.324488127069	388.33857139236	639.782733105477	325.232868695153
OGFR	597.204901117318	395.946687977545	565.306427370608	452.63962955321	402.752265269577	407.953050318154	526.409207422556	833.69510763201	592.474854953311	627.344917340887
TIMM44	289.367323221793	398.196385068327	551.14426217552	546.559091593069	205.551395352894	451.988715627445	318.797351784875	488.505266394357	306.374829937834	271.284288579843
ERGIC2	381.718596590451	588.295789239364	696.306455425175	590.909948667447	368.065467303776	535.074876588373	362.090819311216	405.289858238852	428.023659471974	545.651353166275
ERGIC3	1675.14948638148	2181.08132951267	2479.55908957338	2366.24866861534	1454.27612212173	2292.34718091199	1421.79683126279	1844.60821411371	1435.00563728235	1956.0213761808
