TCGA-OR-A5J1-01	TCGA-OR-A5J2-01	TCGA-OR-A5J3-01	TCGA-OR-A5J5-01	TCGA-OR-A5J6-01	TCGA-OR-A5J7-01	TCGA-OR-A5J8-01	TCGA-OR-A5J9-01	TCGA-OR-A5JA-01	TCGA-OR-A5JB-01	TCGA-OR-A5JC-01	TCGA-OR-A5JD-01	TCGA-OR-A5JE-01	TCGA-OR-A5JF-01	TCGA-OR-A5JG-01	TCGA-OR-A5JI-01	TCGA-OR-A5JJ-01	TCGA-OR-A5JK-01	TCGA-OR-A5JL-01	TCGA-OR-A5JM-01	TCGA-OR-A5JO-01	TCGA-OR-A5JP-01	TCGA-OR-A5JQ-01	TCGA-OR-A5JR-01	TCGA-OR-A5JS-01	TCGA-OR-A5JT-01	TCGA-OR-A5JV-01	TCGA-OR-A5JW-01	TCGA-OR-A5JX-01	TCGA-OR-A5JY-01	TCGA-OR-A5JZ-01	TCGA-OR-A5K0-01	TCGA-OR-A5K1-01	TCGA-OR-A5K2-01	TCGA-OR-A5K3-01	TCGA-OR-A5K4-01	TCGA-OR-A5K5-01	TCGA-OR-A5K6-01	TCGA-OR-A5K8-01	TCGA-OR-A5K9-01	TCGA-OR-A5KO-01	TCGA-OR-A5KT-01	TCGA-OR-A5KU-01	TCGA-OR-A5KV-01	TCGA-OR-A5KW-01	TCGA-OR-A5KX-01	TCGA-OR-A5KY-01	TCGA-OR-A5KZ-01	TCGA-OR-A5L3-01	TCGA-OR-A5L4-01	TCGA-OR-A5L5-01	TCGA-OR-A5L6-01	TCGA-OR-A5L8-01	TCGA-OR-A5L9-01	TCGA-OR-A5LA-01	TCGA-OR-A5LB-01	TCGA-OR-A5LC-01	TCGA-OR-A5LD-01	TCGA-OR-A5LE-01	TCGA-OR-A5LG-01	TCGA-OR-A5LH-01	TCGA-OR-A5LJ-01	TCGA-OR-A5LK-01	TCGA-OR-A5LL-01	TCGA-OR-A5LM-01	TCGA-OR-A5LN-01	TCGA-OR-A5LO-01	TCGA-OR-A5LP-01	TCGA-OR-A5LR-01	TCGA-OR-A5LS-01	TCGA-OR-A5LT-01	TCGA-OU-A5PI-01	TCGA-P6-A5OF-01	TCGA-PA-A5YG-01	TCGA-PK-A5H8-01	TCGA-PK-A5H9-01	TCGA-PK-A5HA-01	TCGA-PK-A5HB-01
ZFP14	126.321	135.686	129.759	380.325	145.862	187.325	93.6593	292.383	250	112.733	384.86	243.325	51.4706	266.049	307.94	286.772	196.787	254.767	120.742	88.7931	194.369	100.132	238.877	278.404	195.708	154.921	275.701	357.613	243.879	57.322	288.833	102.537	275.756	146.837	437.257	164.159	83.1419	186.774	291.727	31.2225	303.187	48.1696	174.173	149.248	110.166	394.837	299.723	209.091	145.089	309.984	241.944	325.234	441.74	215.054	142.857	317.986	92.2659	241.52	74.4194	295.757	222.287	339.29	508.475	142.366	380.609	276.301	662.182	430.18	304.603	308.995	306.973	306.728	244.427	363.384	620.237	238.332	240.353	213.713
CWC22	397.695	431.62	336.543	359.411	512.472	449.659	652.715	469.513	330.867	732.093	374.682	314.32	363.688	327.831	419.723	471.785	268.63	413.425	367.865	526.293	552.873	435.661	397.332	456.338	339.623	320.739	359.294	386.573	278.255	344.38	476.91	362.051	415.705	347.225	331.177	430.286	339.917	528.016	316.401	433.157	469.541	327.553	302.747	477.054	330.498	905.832	455.562	641.818	405.134	427.026	456.581	429.906	440.942	317.204	300.799	370.206	542.062	621.438	539.387	549.198	315.369	325.699	406.78	625.093	490.47	403.468	326.285	424.451	404.184	293.41	364.796	356.328	277.669	415.164	384.135	629.155	362.183	641.54
EPG5	690.202	883.371	776.774	532.146	373.316	428.399	539.992	650.722	621.036	284.282	241.094	599.515	345.023	545.999	563.751	493.987	485.944	530.892	672.304	324.569	587.968	180.94	664.079	940.845	535.331	386.119	1149.01	669.592	258.797	1375.28	1240.64	1278.54	732.038	400.777	500.647	729.469	430.409	806.663	461.538	715.04	601.218	578.035	591.291	581.566	644.795	675.43	769.009	395.151	621.652	698.705	583.288	575.701	657.223	387.097	467.613	642.033	380.597	499.322	404.694	432.715	637.222	789.328	522.034	799.761	480.264	566.474	728.976	911.93	697.071	586.82	678.571	640.821	584.279	718.447	763.273	993.806	745.314	384.924
ZNF250	210.596	166.19	205.344	556.654	157.145	225.66	110.655	464.923	203.272	269.123	438.766	257.555	293.637	325.719	141.851	154.986	434.627	288.383	82.5511	209.728	211.339	317.584	176.773	228.925	291.165	205.088	244.367	167.499	431.464	150.246	220.655	218.018	215.802	296.731	195.343	428.683	197.804	232.176	146.589	342.819	296.612	211.503	276.561	282.403	254.127	411.64	197.49	335.764	159.409	112.786	240.868	280.392	500.615	166.667	144.632	184.921	244.423	404.98	183.232	229.976	171.267	192.832	160.407	190.495	181.732	265.827	250.5	147.654	267.615	130.103	145.119	232.93	364.951	125.159	321.337	192.208	326.169	135.369
CACTIN	576.849	514.159	921.345000000001	1502.71	580.093	686.723	667.219	992.402	1105.18	339.089	721.374	666.869	476.244	800.077	1269.38	625.347	1081.21	1105.26	333.568	621.121	478.365	919.631000000001	754.852	681.221	569.367	677.958	359.294	756.033	820.496	586.207	319.731	913.319	801.598	703.952	780.078	1176.56	512.632	390.712	1013.06	1164.03	853.796	535.645	732.573	697.262	922.911	317.4	809.297	1005.45	453.125	712.183	348.443	330.841	648.843	370.968	663.709	1120.41	1187.25	1132.97	578.134	625.185	463.561	432.419	906.78	660.984	726.399	771.098	769.822	721.081	502.929	673.556	875	423.033	809.151000000001	624.596	739.538	455.029	703.418	602.245
RBM25	2239.67	1188.56	2066.66	4340.05	705.277	1178.5	794.861	1360.6	1580.34	1913.33	1688.3	941.748	944.005	1134.47	1375.79	1699.35	1703.26	1411.14	1838.85	1188.36	1164.6	1306.54	924.853	1123	1864.96	985.904999999999	1191.59	2023.26	1975.68	1214.51	1267.51	1046.51	895.173	1099.55	1204.4	793.34	782.729	1212.52	1233.67	1667.11	2746.02	684.008	1059.24	1259.16	1406.24	1407.74	1679.69	1724.24	1641.74	1078.91	1244.13	1700.93	2395.05	1521.51	977.817	1619.77	1267.3	2516.96	1250.98	1534.75	993.344	1198.09	1476.27	1659.34	1503.23	1415.03	1902.45	971.432	1257.74	1822.12	1047.62	1781.07	1669.93	905.687	1943.16	1528.4	1538.04	1819.17
RBM26	621.038	847.94	470.449	387.297	741.603	223.426	372.565	473.592	514.799	434.444	359.415	475.121	301.471	414.712	532.043	186.864	312.807	536.995	904.863	626.724	372.541	364.075	307.355	640.845	455.42	575.625	695.223	499.781	568.834	500.224	836.272	458.245	443.86	272.943	347.995	563.63	350.482	734.477	522.496	545.295	613.402	520.231	176.416	738.141	969.353	676.864	556.503	399.394	370.536	649.761	593.665	265.421	922.586	478.495	364.685	414.967	586.16	379.919	659.934	543.738	476.527	450.541	233.898	982.803	617.74	369.942	671.792	629.844	712.134	306.963	469.388	536.488	742.276	427.647	569.019	655.675	517.641	394.948
LHPP	205.572	569.319	872.76	526.723	1081.39	822.302	608.786	483.112	407.505	448.702	936.387	755.461	311.086	315.474	239.688	1171.14	86.5685	668.955	448.203	399.138	707.829	431.708	229.72	611.268	64.003	852.304	825.545	376.481	2198.15	80.609	3476.07	332.452	525.014	693.587	300.129	1726.75	294.442	267.037	483.309	573.439	510.309	789.981	124.089	728.114	292.156	1091.78	245.711	250.303	1017.86	218.478	1200.44	463.551	271.349	2784.95	1970.72	232.661	434.193	2400.27	712.212	341.258	520.985	297.005	683.051	947.51	512.082	996.532	337.818	397.564	1903.77	355.074	124.15	434.436	433.32	531.207	871.955	1129.2	1142.78	516.439
SMURF2	388.088	588.646	191.972	237.8	278.311	387.084	276.005	339.64	223.573	371.171	251.272	304.612	182.692	195.772	55.354	280.296	199.464	147.979	240.545	375.431	251.061	357.049	478.949	223.005	421.014	207.983	228.453	268.539	212.097	502.911	267.338	282.241	144.917	225.437	90.5563	125.5	519.982	177.688	105.951	162.709	227.741	317.919	527.752	212.495	181.45	318.356	309.463	405.454	151.786	127.682	200.437	155.14	523.543	64.5161	111.801	235.459	136.364	373.134	198.042	128.313	172.735	279.889	196.61	309.257	113.462	332.948	587.218	304.564	287.029	245.299	360.544	223.489	225.655	407.305	158.651	486.784	159.316	184.443
S100PBP	889.049	426.788	318.768	305.964	341.461	427.998	485.288	306.662	365.222	660.8	232.188	343.447	651.018	276.861	304.716	369.103	440.428	260.87	236.786	528.879	475.665	402.723	423.609	357.798	461.709	419.756	191.589	302.764	210.151	503.807	378.841	394.82	226.899	323.04	178.525	394.989	354.157	355.376	216.255	427.88	684.161	425.819	316.203	495.951	208.992	520.554	413.06	578.182	151.786	224.153	422.72	256.075	347.167	107.527	144.632	258.771	378.562	203.528	508.02	282.562	170.42	607.098	281.356	193.211	181.3	342.197	266.699	245.503	361.506	229.714	542.517	411.631	496.285	345.816	297.939	534.938	339.03	674.82
ILRUN	1930.84	2652.93	1709.38	941.905	5371.17	3365.82	4145.88	1272.89	3670.72	3717.95	2981.55	3436.89	3067.31	1554.2	1911.06	3292.32	1222.22	1568.27	5502.94	3926.72	3668.72	3133.51	3203.74	4204.69	3970.4	4179.08	3550.88	5151.82	1859.58	2062.25	3686.31	3131.61	2233.38	2789.89	3148.77	4281.01	2577.86	2202.93	2069.67	2169.31	3643.39	2246.63	1638.57	2397.22	2067.77	5093.21	1720.86	3572.73	2004.46	5302.36	2960.13	1814.95	1292.9	1736.56	2084.29	1467.77	1350.07	1449.12	1495.15	4249.8	4048.4	1752.33	5552.54	5363.84	2707.49	3617.34	2009.13	3167.73	2529.71	1158.73	2226.19	2488.03	2109.11	3949.61	4290.44	4116.55	6437.16	3136.33
ARMCX5	269.452	266.944	427.788	199.845	217.954	270.357	218.815	341	330.867	157.736	282.443	410.801	89.9321	372.623	328.9	400.555	198.572	205.95	542.636	189.224	233.783	159.859	433.164	406.103	162.782	306.052	555.556	283.458	196.53	157.636	565.575	144.82	329.583	110.559	413.971	356.33	107.947	213.529	284.47	185.136	346.767	197.495	353.579	408.407	479.006	403.442	235.086	145.454	151.786	380.919	449.481	186.916	262.969	177.419	539.485	445.74	248.304	165.536	186.356	310.772	725.211	324.188	513.559	375.654	441.243	349.133	655.454	351.726	492.05	440.454	331.633	404.789	276.496	428.571	339.788	317.195	379.272	350.04
RSRC2	2583.57	1562.21	1322.47	2799.38	1166.89	1382.67	1348.53	2551.89	1827.7	1559.54	2235.37	1453.28	1197.96	1591.27	1933.09	1530.99	1586.35	2098.4	2201.55	2112.93	1141.92	1638.56	1399.02	2175.59	1674.07	1892.69	1753.37	2000	2498.46	2162.56	2372.46	1499.47	1647.91	2271.65	2354.46	2599.64	1836.93	1133.27	1532.66	1672.38	1578.73	1212.91	1708.84	1600.08	2275.15	2261.47	1820.92	3133.33	1033.48	2110.3	1910.43	1865.42	1569.03	1924.73	1590.06	1986.25	1787.65	2100.41	1731.94	1926.52	1528.22	1183.49	1433.9	1857.34	2368.3	2063.58	2766.94	1293.63	2543.1	1765.2	2547.62	1681.87	2529.53	1147.94	2779.51	1445.35	2403.53	1739.78
C1ORF35	697.887	469.064	355.503	597.986	307.371	389.491	414.007	303.602	487.844	672.831	379.135	185.68	583.71	348.296	403.063	300.647	374.386	784.134	272.023	437.069	416.815	772.947	263.561	257.277	476.877	305.105	264.278	203.159	336.63	305.419	251.889	406.977	388.378	502.699	368.693	298.623	464.401	489.652	288.824	334.213	348.172	423.892	346.103	625.145	320.238	574.57	414.389	452.727	482.143	265.295	373.02	379.439	193.536	360.215	470.275	331.507	725.237	374.491	398.544	733.477	502.924	268.311	298.305	390.01	297.163	505.202	417.107	237.569	282.845	331.357	220.238	267.959	383.262	239.02	297.939	225.421	544.101	348.436
THOC6	1147.99	167.684	1135.25	1813.77	273.588	505.588	644.198	732.875	1135.19	755.994	1013.3	593.544	649.61	819.608	1004.48	1420.14	1320.88	1462.1	486.498	479.759	572.272	825.253	605.478	884.934	700.958	919.337	672.269	694.761	1265.69	312.288	980.971	909.413	1380.15	619.365	1007.88	925.372	917.033	799.642	1039.85	950.33	1072.21	851.753	808.94	922.819	725.6	527.266	806.163	973.127	929.721000000001	789.977	1304.99	1783.7	372.733	2222.74	1408.16	465.066	975.719	975.929	440.372	536.599	739.21	270.098	586.966	320.975	1301.9	1251.94	555.493	549.393	933.598	365.943	704.354	713.871	918.146	902.182	1314.15	539.36	899.487	994.15
SAP130	867.915	962.689000000001	472.226	344.694	474.469	709.988	695.814	660.922	307.082	722.29	341.603	388.349	562.217	543.682	525.595	458.834	448.907	325.706	351.891	1010.78	512.919	647.782	388.972	490.141	811.321	427.336	592.939	384.818	273.715	757.725	504.45	838.795	476.156	310.948	336.352	434.208	855.306	1082.28	240.929	1038.7	515.464	341.041	325.92	505.206	444.985	652.008	671.168	587.273	560.268	359.638	413.981	366.355	671.987	290.323	316.77	385.127	578.697	591.587	997.589	470.026	337.135	649.887	281.356	759.085	383.611	403.468	646.324	452.659	441.004	347.62	327.381	452.68	317.169	404.068	284.197	555.527	481.808	442.261
CCNJL	135.927	74.084	79.9881	357.087	2.7943	26.8753	518.027	42.8375	58.1395	514.203	510.814	166.262	140.272	40.5445	415.961	61.9796	120.928	25.9344	649.284	34.4828	29.1554	474.308	31.4522	294.836	5.1794	377.591	706.127	181.659	167.991	234.214	493.703	39.6406	283.209	402.505	538.163	445.413	8.7276	98.4351	30.479	340.809	69.8219	233.141	88.9553	381.797	97.2053	1407.74	130.161	260.606	69.1964	810.782	250.137	357.009	116.52	489.247	671.695	44.2942	388.738	204.885	8.6105	221.135	566.831	278.882	844.068000000001	92.119	862.674	156.069	302.259	11.019	676.151	86.7356	50.1701	209.236	95.4243	206.195	926.296	21.6348	93.7155	61.3472
AAGAB	1327.09	1271.1	1090.8	925.639	1027.74	1478.14	1099.88	864.57	2126.85	852.401	1479.64	848.301	1026.02	1165.75	1510.14	599.445	1364.57	1805.49	2957.48	1050	805.014	880.104999999999	620.683	869.483999999999	1355.53	836.196	1098.13	1981.57	1070.86	2357.81	806.717	910.676999999999	911.735	2058.3	1147.48	853.848	1415.25	1394.75	830.189	849.163999999999	843.486	1276.49	1509.25	1111.45	2058.59	737.572	1160.82	1050.91	1045.76	1399.54	905.516	383.178	720.67	892.473000000001	762.201	1933.56	1188.6	560.38	1433.03	1308.61	1557.4	730.934	547.458	1147.9	1703.14	786.127	1176.84	990.826	833.473	1256.99	802.721	1071.27	1031.29	969.487	1560.27	930.646000000001	520.397	2005.61
PALB2	361.671	302.375	391.646	346.243	129.655	159.647	214.256	327.401	410.676	246.853	206.743	344.053	169.683	369.92	428.322	237.743	423.025	250.953	187.926	151.724	232.164	111.55	327.66	473.239	418.794	395.12	523.365	295.305	153.073	276.31	410.411	330.867	412.392	165.839	336.352	515.447	124.024	298.839	280.116	252.419	485.473	183.044	334.143	301.581	340.219	216.539	242.612	389.697	174.107	405.036	363.19	269.159	343.176	258.065	287.489	403.777	224.559	191.316	217.723	295.302	211.636	229.549	152.542	283.535	287.558	191.907	212.398	401.972	324.686	313.061	277.211	394.527	270.239	376.791	415.99	270.784	428.886	419.808
CBLL1	524.496	679.237	671.9	591.015	395.112	610.108	555.325	572.867	552.854	531.135	330.153	682.039	182.692	765.325	630.928	456.984	796.073	536.995	679.352	297.845	417.894	308.74	605.952	623.474	441.731	502.191	583.593	753.401	368.413	737.573	319.731	403.277	699.742	333.405	652.005	368.656	182.82	268.551	568.941	543.975	719.775	353.565	669.781	504.049	561.631	410.134	632.208	686.667	330.357	502.926	353.905	312.149	735.435	193.548	524.401	1009.91	492.537	181.818	446.516	384.939	637.685	1203.12	484.746	882.907	620.741	569.942	549.255	735.186	359.833	976.453000000001	353.741	870.011	619.867	699.029	778.888	475.268	368.247	522.454
ZC3H14	1194.04	1058.92	1549.4	1699.46	628.155	685.519	660.174	782.294	979.915	1439.23	907.761	704.49	674.774	689.642	1299.48	778.908	1251.67	661.327	1494.95	650	760.201	783.487	650.941	771.831	1119.87	830.984	680.166	1211.5	1283.61	592.924	926.28	778.541	741.975	797.236	684.347	937.889	590.721	1034.83	625.544	898.857	1643.39	685.934	568.118	879.676	681.518	1170.17	873.935	867.878999999999	981.026999999999	1319.38	914.255	650.467	2314.84	822.581	724.933	1405.76	685.889	888.738	825.994	1118.42	842.374	900.076	1257.63	1192.76	1098	825.433	1499.76	829.508	956.485	1453.5	575.68	1492.02	770.825	766.066	1085.57	1521.77	1004.41	1187.25
PYROXD1	685.259	879.440999999999	504.885	585.879	613.043	468.969	247.261	779.398	461.686	303.545	815.095	789.023	414.559	1006.03	695.634	1005.71	477.104	961.907	918.651999999999	436.009	411.291	297.093	847.787	793.479	263.996	759.611	659.652	503.256	797.782	883.014	854.549	396.675	932.835	545.861	1196.56	809.279	297.065	444.735	1085.43	414.732	296.692	417.216	644.485	384.157	809.742	352.414	753.691	360.158	659.453	678.681	1133.11	1035.66	481.716	1114.46	961.544	985.806999999999	565.176	551.56	459.795	352.01	1266.75	697.735	1128.68	370.025	1102.65	1212.29	408.722	873.174	952.736	1167.42	807.823	528.78	527.611	797.263	966.865	488.535	550.022	305.637
THOC7	844.861	1070.19	847.873999999999	696.359	1211.04	618.131	821.384	532.749	843.023	1289.96	1043.26	1138.96	1215.5	543.682	822.249	1523.59	808.568	820.747	888.419	870.259	1136.52	623.628	1102.82	922.066	1018.13	605.472	723.261	490.566	1075.4	987.461	697.901000000001	1125.26	829.754	1368.17	880.983	722.746	1025.72	1645.63	719.884	623.131	805.529	1216.76	649.598	954.879	767.922	1023.9	771.666	961.818	1735.49	881.007	1075.91	1020.56	858.34	1107.53	1095.83	497.028	923.338	1081.41	1507.45	1335	751.607	1407	1954.24	753.103000000001	788.234	1756.07	528.111	603.399	764.017	401.83	993.197	383.694	466.171	844.66	949.407	714.298	895.810000000001	496.792
RUFY1	1780.98	1898.4	1782.85	1857.47	1759.84	1679.1	1171.99	1802.24	1249.47	1810.85	2559.16	1970.27	1901.02	1582.01	2112.59	1800.18	1183.4	1882.53	1909.33	829.31	1460.47	1590.69	2059.92	3225.35	1536.81	2744.52	2106.44	2395.79	2034.05	1207.34	2149.45	1250.53	2545.57	1275.75	2531.69	2453.41	1734.04	1794.04	3024.67	978.892	1980.79	1568.4	1714.82	1303.12	2213.58	958.891	1668.18	1024.24	1462.05	1872.67	2140.91	2616.82	2628.89	1215.05	2526.18	1953.14	1369.06	1213.03	1545.59	2260.04	1952.88	1467.4	1961.02	1811.28	3052.68	2477.46	1827.01	2284.01	1760.67	2326.95	1096.94	2152.79	1669.14	1889.51	1955.03	1178.05	3247.52	1481.56
ITPKC	855.908	593.477	918.383	1027.11	1249.6	1033.29	1055.12	1152.53	758.457	1762.28	870.865	720.874	623.303	834.443	911.46	1321	553.324	977.88	517.736	464.224	1189.97	1069.83	864.736	884.976000000001	968.923	483.714	501.038	677.929	850.332	532.467	553.485	630.55	592.918	1117.69	1086.68	640.947	750.574	563.857	936.139	650.396	679.007	761.079	905.999	514.076	587.552	1299.71	1005.42	707.273	435.268	875.332	588.203	564.486	615.722	677.419	758.651	842.056	706.241	845.319	678.385	904.562	684.921	573.37	1479.66	540.751	968.932999999999	697.11	768.381	1119.09	531.381	506.183	744.898	683.58	1030.5	940.823	872.58	925.761	1538.04	782.678
EEPD1	500.48	142.531	103.096	439.194	173.804	318.492	849.15	132.592	130.021	75.3036	129.771	251.214	89.9321	238.247	538.492	175.763	367.693	358.505	270.143	123.276	345.006	93.5441	121.429	334.272	262.301	240.199	144.341	64.502	325.604	47.9176	135.684	348.837	395.83	76.0095	161.708	94.125	66.1461	70.1666	165.457	60.686	115.745	863.198	159.223	77.5164	124.747	239.962	247.482	71.5152	103.795	407.874	434.735	91.5888	145.251	145.161	288.376	69.0057	295.794	156.038	59.6585	626.55	274.154	313.617	501.695	239.27	117.665	95.9538	261.893	300.157	265.272	111.808	112.245	190.422	264.372	537.679	398.501	335.689	646.637	234.964
CSRNP2	1224.3	1871.02	1362.76	3038.73	398.465	998.395	1351.43	2687.2	816.596	650.997	1958.02	856.189	1047.51	1875.86	774.956	1571.69	1630.97	2593.44	929.293	3811.64	589.048	946.421	870.708	976.056	1270.81	849.461	1091.38	1391.84	2238.37	1426.33	1350.13	1072.41	1424.33	1212.7	1412.68	770.929	1334.86	855.124	1656.02	1221.64	608.247	849.711	2530.37	1071.35	1077.9	876.195	2525.29	1033.33	1053.57	1021.46	1190.06	1512.15	1262.97	1290.32	772.848	1223.45	1357.53	1685.21	912.714	788.989	1418.47	2652.4	1513.56	708.24	4106.26	1587.28	2015.86	1423.65	1029.29	2362.19	1995.75	1728.62	1846.7	1185.39	1397.25	727.558	897.464	538.893
ABHD17A	1067.24	657.495	1149.46	2027.89	844.433	1428	872.773	1489.79	1285.94	410.382	1411.58	979.369	1084.28	981.176000000001	1146.31	1147.09	1279.34	1389.02	410.618	1238.79	1170.54	1696.09	873.494999999999	647.887	681.095	719.176	314.642	623.958	1474.95	731.303	488.329	848.837	591.261	1333.62	1266.49	535.616	1142.4	631.499	1629.9	1948.99	1180.41	782.274	928.425	894.331	1238.83	807.838999999999	1446.82	1182.42	812.5	870.367	679.41	745.794	711.492	978.495	755.102	885.884	1069.2	936.228	773.716	970.083	718.727	539.643	1469.49	473.755	661.564	969.942	863.047	792.925	451.046	812.468	956.633	335.804	962.847	907.073	923.173	526.913	881.477	748.597
RTL6	340.538	927.66	792.179	287.374	369.963	610.91	157.48	557.908	964.059	506.183	318.702	523.665	522.059	910.898999999999	985.624	277.521	1233.38	225.019	1203.66	812.069	467.027	498.024	504.827	452.582	738.069	508.824	301.142	1172.01	132.966	665.025	793.283	1656.98	393.346	635.716	372.574	554.665	713.367	1426.05	341.074	1251.1	810.216	1062.62	683.237	1337.45	705.819	210.803	869.065	581.818	357.143	818.585	417.805	138.318	1116.12	161.29	272.405	946.031	514.925	160.108	1526.52	493.232	882.201	606.091	316.949	631.075	408.825	230.058	907.256	891.655	578.243	862.612	348.639	995.439	901.056	521.498	155.528	724.767	497.795	2985.97
FYTTD1	1414.51	3202.52	1068.29	1016.27	573.387	1373.85	952.756	1148.11	1043.34	1488.25	1149.49	1654.13	850.113	830.968	899.1	1108.23	808.568	948.893999999999	1279.3	1706.9	1142.46	1104.52	1559.07	1384.98	1304.11	1105.77	1537.38	935.937	1376.36	673.981	1211.75	707.717	1160.16	1085.73	1014.23	1099.25	1507.12	1087.83	718.433	787.159	2022.02	940.27	817.791	1150.02	869.448	913.48	1241.84	1282.42	705.357	1219.37	973.238999999999	1020.56	1992.02	897.85	740.018	911.993999999999	918.589000000001	1139.76	828.454	1257.65	857.657	2481.75	1518.64	1024.08	978.537999999999	968.786	1045.65	1179.91	1112.97	1553.11	1293.37	2086.66	1069.61	1993.07	852.592	1055.92	1343.99	862.47
POLDIP3	940.921999999999	1669.31	1407.79	531.371	1245.69	903.328999999999	1827.19	1122.95	1247.89	2088.89	672.392	1008.5	1345.59	1098.56	1622.46	482.886	2587.68	1036.61	1502.47	1625	1716.93	1900.31	1106.4	732.864	1836.85	1525.05	595.535	1556.82	588.941	1098.97	1923.76	2905.39	1284.38	2034.12	1122.9	2354.81	1611.39	2343.77	1253.99	1933.6	1241.33	1793.83	1114.56	2008.87	1479.14	980.402	1702.71	1950.91	1060.27	1132.83	1273.62	577.57	2197.13	532.258	1047.91	1762.44	1554.95	611.94	2081.28	2094.41	1188.31	1122.07	757.627	1554.66	746.21	667.052	1754.44	1174.62	1592.47	1330.85	1001.7	1909.92	2177.16	885.344	668.332	1368.58	1242.56	4307.94
SARNP	1923.19	1110.64	1134.25	2038.91	1182.23	1607.31	1411.21	2143.46	1974	1449.82	2487.49	958.877	2015.72	1100.35	1544.63	1595.75	2039.17	1695.27	1758.72	1388.33	1162.56	2696.28	1213.6	1076.08	1091.19	1154.49	1036.08	1245.75	2105.76	1564.14	1353.01	1519.1	1996.25	2624.48	1656.62	1899.21	2808.19	1773.42	2014.34	1385.6	880.797	995.048	1324.19	1631.96	1792.43	1207.92	2328.44	2415.62	1638.25	1230.95	1898.18	1980.86	1197.1	1683.06	2089.88	1519.29	2240.07	2515.75	1549.97	1580.56	1414.51	1343.9	1125.36	400.455	2390.99	1079.09	1593.19	602.275	1283.4	838.611	1218.9	1231.56	1353.03	958.030000000001	1415.92	629.179	868.622	1420.22
ZNF528	134.966	223.46	285.587	214.562	102.271	173.686	245.338	201.948	425.476	105.603	461.832	189.32	173.643	262.96	365.444	311.748	145.024	302.822	204.369	214.224	235.403	68.9504	404.897	394.366	53.2741	313.633	398.235	204.476	265.283	81.5047	397.649	90.9091	152.37	145.973	213.454	314.31	129.536	273.599	110.305	71.6799	252.109	115.607	299.757	37.0228	505.468	737.572	247.039	234.546	160.714	92.9243	184.052	229.906	212.69	440.86	95.8296	102.576	177.069	469.471	39.3623	249.346	294.53	293.481	662.712	212.951	392.616	374.567	133.109	344.233	361.506	260.884	437.925	474.914	204.537	270.458	442.848	214.255	251.929	304.731
TMEM209	988.953	1048.85	1471.19	434.547	934.967	886.883	546.208	801.333000000001	1325.58	579.704	372.774	856.189	531.674	1334.11	1369.88	810.361	1888.44	761.251	1356.35	470.259	411.955	2397.45	1135.07	1133.8	1065.11	685.538	872.792999999999	1419.04	524.728	768.025	583.039	1667.02	1110.48	505.29	1163	633.103	409.279	1087.33	1066.76	2523.31	1278.82	473.025	1329.84	942.923	974.214	646.75	1111.23	1047.27	1005.58	1271.15	633.534	598.131	814.844	381.72	1005.32	1351.21	585.482	446.404	956.997000000001	437.265	1353.17	1136.67	625.424	1188.57	1036.77	826.59	665.065	1266.3	586.611	1231.24	680.272	969.213	1050.06	1091.08	1126.17	473.524	421.169	1119.09
UBE3B	1491.35	2993.56	1805.95	2009.3	2104.1	1670.28	1109.41	1823.99	1201.9	839.479	1555.34	2012.14	1241.52	1674.68	2131.94	2074.93	1293.17	1835.24	2225.04	5000	1280.14	1562.14	1821.04	3521.13	1249.35	2702.36	3196.78	1942.96	1296.58	1988.8	2869.52	1341.44	2124.07	1149.64	1760.67	3013.68	1715.66	1568.9	1348.33	1050.13	1147.14	736.993999999999	1560.83	1012.34	1532.6	1396.75	1305.15	1087.27	833.705	2055.68	1444.02	1452.34	1320.83	1344.09	1652.17	1697.17	890.095	1302.58	1354.93	1409.62	2058.01	1413.04	1774.58	1644.38	2162.99	2015.03	1261.41	2438.72	2562.34	1532.1	2044.22	1281.07	1685.18	1989.83	3056.21	2059.5	2282.8	1372.89
ZNF160	645.053	1028.72	1983.11	2333.08	2995.47	1924.19	309.159	1156.95	2656.45	477.665	1856.23	732.403	916.855	2168.55	2351.2	1449.58	842.035	1523.26	1074.47	1672.84	1200.23	947.738	723.002	1477.46	1328.52	989.222	2479.23	2734.53	1207.72	619.794	1781.36	623.15	1176.73	1181.6	3113.84	1945.25	710.152	1786.47	2441.22	2734.83	2095.13	1515.41	1396.37	2172	3175.37	3055.93	1983.4	1750.3	1555.8	2635.93	914.255	1988.79	2529.53	3225.81	1086.07	2096.28	928.765	4837.18	1786.68	2340.12	2425.24	1625.98	1269.49	2338.87	2088.55	2196.53	2039.4	1129.66	1951.46	1158.73	714.286	2474.34	1430.97	735.09	6256.71	3613.71	1325.8	1027.67
